Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles,	Compute_cycles
1,	5,	5,	3,	3,	3,	4,	1,	1,	1,	1,	3176,	295
2,	207,	207,	3,	3,	16,	32,	1,	9,	1340,	1314,	11712,	255024
3,	103,	103,	3,	3,	32,	64,	1,	36,	664,	638,	6808,	263680
4,	52,	52,	3,	3,	64,	128,	1,	144,	338,	313,	3744,	252928
5,	26,	26,	3,	3,	128,	256,	1,	576,	169,	144,	2424,	246272
6,	13,	13,	3,	3,	256,	512,	1,	2304,	85,	61,	3080,	485888
7,	11,	11,	3,	3,	512,	1024,	1,	9216,	121,	81,	5616,	1633280
8,	9,	9,	3,	3,	1024,	1024,	1,	18432,	162,	49,	7840,	2663424
9,	7,	7,	1,	1,	1024,	125,	1,	250,	98,	6,	1248,	29568
