Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles_w,	Memory_cycles_i,	Memory_cycles_o,	Memory_cycles,	Compute_cycles,	W_DRAM,	I_DRAM,	O_DRAM,	Total_DRAM,	Total_SRAM,	Total_MACs
1,	5,	5,	3,	3,	3,	4,	1,	1,	1,	1,	8,	8,	8,	5688,	295,	721920,	1024,	5120,	728064,	19040,	6960
2,	207,	207,	3,	3,	16,	32,	1,	9,	1340,	1314,	10832,	10832,	10832,	12213216,	255024,	1560421376,	1386496,	1483776,	1563291648,	16367904,	7442064
3,	103,	103,	3,	3,	32,	64,	1,	36,	664,	638,	10856,	10856,	10856,	17760,	263680,	39936,	1389568,	843776,	2273280,	16901888,	8029056
4,	52,	52,	3,	3,	64,	128,	1,	144,	338,	313,	11336,	11336,	11336,	15840,	252928,	150528,	1451008,	425984,	2027520,	16200704,	7887360
5,	26,	26,	3,	3,	128,	256,	1,	576,	169,	144,	11912,	11912,	11912,	18208,	246272,	592896,	1524736,	212992,	2330624,	15768064,	7777536
6,	13,	13,	3,	3,	256,	512,	1,	2304,	85,	61,	14240,	14240,	14240,	34360,	485888,	2362368,	1822720,	212992,	4398080,	31103488,	15445248
7,	11,	11,	3,	3,	512,	1024,	1,	9216,	121,	81,	44120,	44120,	44120,	120688,	1633280,	9440256,	5647360,	360448,	15448064,	104541184,	52090368
8,	9,	9,	3,	3,	1024,	1024,	1,	18432,	162,	49,	66688,	66688,	66688,	216472,	2663424,	18877440,	8536064,	294912,	27708416,	170468352,	85086720
9,	7,	7,	1,	1,	1024,	125,	1,	250,	98,	6,	4752,	4752,	4752,	7048,	29568,	265216,	608256,	28672,	902144,	1893248,	932288
