Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles_w,	Memory_cycles_i,	Memory_cycles_o,	Memory_cycles,	Compute_cycles,	W_DRAM,	I_DRAM,	O_DRAM,	Total_DRAM,	Total_SRAM,	Total_MACs
1,	700,	161,	20,	5,	1,	32,	2,	7,	221,	842,	1816,	1816,	1816,	211816,	138600,	25804800,	232448,	1075200,	27112448,	8904000,	3914400
2,	700,	161,	20,	5,	1,	32,	2,	7,	221,	842,	1816,	1816,	1816,	211816,	138600,	25804800,	232448,	1075200,	27112448,	8904000,	3914400
3,	700,	161,	20,	5,	1,	32,	2,	7,	221,	842,	1816,	1816,	1816,	211816,	138600,	25804800,	232448,	1075200,	27112448,	8904000,	3914400
4,	341,	79,	10,	5,	32,	32,	2,	100,	1684,	198,	13888,	13888,	13888,	295704,	558144,	35722240,	1777664,	350208,	37850112,	35732160,	17690976
5,	341,	79,	10,	5,	32,	32,	2,	100,	1684,	198,	13888,	13888,	13888,	295704,	558144,	35722240,	1777664,	350208,	37850112,	35732160,	17690976
6,	341,	79,	10,	5,	32,	32,	2,	100,	1684,	198,	13888,	13888,	13888,	295704,	558144,	35722240,	1777664,	350208,	37850112,	35732160,	17690976
