Layer,	H,	W,	R,	S,	C,	N,	T,	W_footprint,	I_footprint,	O_footprint,	Memory_cycles_w,	Memory_cycles_i,	Memory_cycles_o,	Memory_cycles,	Compute_cycles,	W_DRAM,	I_DRAM,	O_DRAM,	Total_DRAM,	Total_SRAM,	Total_MACs
1,	224,	224,	11,	11,	3,	96,	4,	69,	294,	276,	7328,	7328,	7328,	10576,	132720,	71680,	937984,	344064,	1353728,	8504832,	4080384
2,	207,	207,	5,	5,	96,	256,	1,	1200,	8035,	10303,	524680,	524680,	524680,	627040,	28191744,	1231872,	67159040,	11870208,	80261120,	1804642560,	896386176
3,	13,	13,	3,	3,	256,	384,	1,	1728,	85,	46,	10680,	10680,	10680,	25776,	364416,	1772544,	1367040,	159744,	3299328,	23327616,	11583936
4,	13,	13,	3,	3,	384,	384,	1,	2592,	127,	46,	16064,	16064,	16064,	38072,	544128,	2657280,	2056192,	159744,	4873216,	34829184,	17334720
5,	13,	13,	3,	3,	384,	256,	1,	1728,	127,	31,	10712,	10712,	10712,	25392,	362752,	1772544,	1371136,	106496,	3250176,	23219456,	11556480
